la_code,la_name,spend_resid_median,spend_resid_lag_median,combined_spend_resid_median,spend_resid_q89_lb,spend_resid_lag_q89_lb,combined_spend_resid_q89_lb,spend_resid_q89_ub,spend_resid_lag_q89_ub,combined_spend_resid_q89_ub
E08000018,Rotherham,-0.03291242553746525,0.022156868281279562,-0.03266833344859597,-0.3137507411925835,-0.3099612684739956,-0.46314701315440177,0.15441505023024843,0.3678920002046719,0.4045633026359903
E08000019,Sheffield,6.671284004112269e-4,0.03300897456086896,0.020746819437071958,-0.23120040893138138,-0.2894674521698597,-0.3562302640701531,0.21649032233473905,0.3911263042050601,0.44639265298373737
E08000021,Newcastle upon Tyne,-0.024703914831617983,-0.16788152166067655,-0.21331738472979128,-0.27291201384548164,-0.5804613005819247,-0.6641163268470396,0.15204377161067345,0.16272029269659247,0.1833365914731079
E08000022,North Tyneside,0.003281953745263964,0.005326838656372606,0.012226806038787941,-0.20497139397925423,-0.34666309526004796,-0.3885088947358224,0.23108183914646513,0.35870904049104424,0.40111737743915665
E08000023,South Tyneside,-0.008171204086965393,0.0055053365148279325,-0.012179911582519898,-0.22949945017154652,-0.3436885882217964,-0.43654980499378326,0.1934972683873044,0.3568422593664932,0.387531433610403
E08000024,Sunderland,-0.10494269684581056,0.3054404464059798,0.1815946032426979,-0.4090706922239485,-0.024798503604731008,-0.23944843216911407,0.05524017171866008,0.733472236765584,0.6846501800789873
E08000025,Birmingham,-0.0014338351719524545,0.04313103351944317,0.029278455643397164,-0.23149790116472702,-0.2863437209909144,-0.3429750502341831,0.1907585143992273,0.37855872983727396,0.4549199155070683
E08000026,Coventry,-0.0012073496729796513,-0.005438992490586636,-0.004230300236561825,-0.21103513543761454,-0.3295786797404845,-0.39825291237545557,0.2343298494527195,0.32309768869373073,0.3939186883505773
E08000027,Dudley,-0.006773104394199409,0.014241335183554589,-0.002438753325433302,-0.24140319068715313,-0.32604507014983813,-0.40961623713562434,0.2080633378492902,0.3787251527503369,0.429845212781802
E08000028,Sandwell,-0.18825719787173803,-0.16951016550481132,-0.35869216196213005,-0.4174815256367327,-0.39833553118054127,-0.722850543484922,-0.0015526289696869058,0.03242003098506872,-0.05321411445750376
E08000029,Solihull,0.00219475898183123,-0.007824288357583238,-0.0042733962397506755,-0.211327485412883,-0.34999322819606504,-0.38907903105009345,0.23570158545527636,0.32103744954540137,0.3864755960926964
E08000030,Walsall,0.003306735709218425,-0.05162484241212768,-0.03159631024847163,-0.19478554030601433,-0.3762694991480254,-0.3953587861395844,0.22094112279909273,0.22672366521274182,0.3152611212956881
E08000031,Wolverhampton,0.031555378845120524,-0.06984278713157416,-0.03730902748210818,-0.15975192977158986,-0.37198136776124474,-0.39850986860119963,0.28278744369025915,0.2295808575957478,0.3853516148096565
E08000032,Bradford,-7.050595667887258e-4,-0.0634515621950977,-0.059896774842866464,-0.22308959184315225,-0.43574576224777156,-0.5011877701479194,0.2149411113041556,0.2525329891196007,0.34574763192768765
E08000033,Calderdale,0.00861609151342458,-0.035815979030015654,-0.012691827913385701,-0.18269578807547687,-0.3611967678069873,-0.40185752918777307,0.24469423659677458,0.2772124735092385,0.34969323773292993
